Salario,Educación,Experiencia,Años en la empresa,Genero,Estado civil
3.1,11,2,0,Mujer,Soltera
3.24,12,22,2,Mujer,Casada
3.0,11,2,0,Hombre,Soltera
6.0,8,44,28,Hombre,Casada
5.3,12,7,2,Hombre,Casada
8.75,16,9,8,Hombre,Casada
11.25,18,15,7,Hombre,Soltera
5.0,12,5,3,Mujer,Soltera
3.6,12,26,4,Mujer,Soltera
18.18,17,22,21,Hombre,Casada
6.25,16,8,2,Mujer,Soltera
8.13,13,3,0,Mujer,Soltera
8.77,12,15,0,Hombre,Casada
5.5,12,18,3,Hombre,Soltera
22.2,12,31,15,Hombre,Casada
17.33,16,14,0,Hombre,Casada
7.5,12,10,0,Mujer,Casada
10.63,13,16,10,Mujer,Soltera
3.6,12,13,0,Mujer,Casada
4.5,12,36,6,Mujer,Casada
6.88,12,11,4,Mujer,Soltera
8.48,12,29,13,Hombre,Casada
6.33,16,9,9,Mujer,Soltera
0.53,12,3,1,Mujer,Soltera
6.0,11,37,8,Mujer,Soltera
9.56,16,3,3,Hombre,Casada
7.78,16,11,10,Hombre,Casada
12.5,16,31,0,Hombre,Casada
12.5,15,30,0,Hombre,Casada
3.25,8,9,1,Mujer,Casada
13.0,14,23,5,Hombre,Casada
4.5,14,2,5,Mujer,Soltera
9.68,13,16,16,Mujer,Soltera
5.0,12,7,3,Mujer,Soltera
4.68,12,3,0,Mujer,Soltera
4.27,16,22,4,Mujer,Casada
6.15,12,15,6,Mujer,Casada
3.51,4,39,15,Hombre,Casada
3.0,14,3,3,Mujer,Casada
6.25,12,11,0,Mujer,Soltera
7.81,12,3,0,Mujer,Casada
10.0,12,20,5,Mujer,Casada
4.5,14,16,0,Mujer,Casada
4.0,11,45,12,Mujer,Casada
6.38,13,11,4,Mujer,Soltera
13.7,15,20,13,Hombre,Casada
1.67,10,1,0,Hombre,Soltera
2.93,12,36,2,Mujer,Casada
3.65,14,9,2,Hombre,Soltera
2.9,12,15,1,Mujer,Casada
1.63,12,18,0,Mujer,Soltera
8.6,16,3,2,Mujer,Soltera
5.0,12,15,5,Hombre,Casada
6.0,12,7,7,Hombre,Casada
2.5,12,2,0,Hombre,Soltera
3.25,15,3,0,Hombre,Soltera
3.4,16,1,1,Mujer,Soltera
10.0,8,13,0,Hombre,Soltera
21.63,18,8,8,Mujer,Soltera
4.38,16,7,0,Hombre,Soltera
11.71,13,40,20,Mujer,Soltera
12.39,14,42,5,Hombre,Soltera
6.25,10,36,8,Hombre,Soltera
3.71,10,13,0,Mujer,Soltera
7.78,14,9,3,Hombre,Soltera
19.98,14,26,23,Hombre,Casada
6.25,16,7,4,Mujer,Casada
10.0,12,25,3,Hombre,Casada
5.71,16,10,5,Hombre,Casada
2.0,12,3,2,Mujer,Soltera
5.71,16,3,0,Mujer,Soltera
13.08,17,17,2,Hombre,Casada
4.91,12,17,8,Hombre,Casada
2.91,12,20,34,Mujer,Casada
3.75,12,7,0,Mujer,Casada
11.9,13,24,19,Hombre,Casada
4.0,12,28,0,Mujer,Casada
3.1,12,2,1,Mujer,Soltera
8.45,12,19,13,Hombre,Casada
7.14,18,13,0,Hombre,Casada
4.5,9,22,5,Hombre,Casada
4.65,16,3,1,Hombre,Soltera
2.9,10,4,0,Mujer,Soltera
6.67,12,7,5,Hombre,Soltera
3.5,12,6,2,Mujer,Soltera
3.26,12,13,3,Mujer,Casada
3.25,12,14,0,Mujer,Casada
8.0,12,14,4,Mujer,Soltera
9.85,8,40,24,Hombre,Casada
7.5,12,11,7,Hombre,Casada
5.91,12,14,6,Hombre,Casada
11.76,14,40,39,Hombre,Casada
3.0,12,1,0,Mujer,Soltera
4.81,12,2,0,Mujer,Soltera
6.5,12,4,1,Mujer,Soltera
4.0,9,19,1,Mujer,Casada
3.5,13,1,0,Hombre,Soltera
13.16,12,34,22,Hombre,Casada
4.25,14,5,2,Hombre,Casada
3.5,12,3,0,Hombre,Soltera
5.13,15,6,6,Mujer,Soltera
3.75,12,14,0,Mujer,Casada
4.5,12,35,12,Mujer,Casada
7.63,12,8,4,Mujer,Soltera
15.0,14,7,7,Hombre,Casada
6.85,15,11,3,Mujer,Casada
13.33,12,14,11,Hombre,Casada
6.67,12,35,10,Hombre,Soltera
2.53,12,46,0,Mujer,Soltera
9.8,17,7,0,Hombre,Casada
3.37,11,45,12,Hombre,Casada
24.98,18,29,25,Hombre,Casada
5.4,12,6,3,Hombre,Casada
6.11,14,15,0,Hombre,Casada
4.2,14,33,16,Mujer,Casada
3.75,10,15,0,Hombre,Soltera
3.5,14,5,0,Mujer,Casada
3.64,12,7,2,Hombre,Soltera
3.8,15,6,1,Hombre,Casada
3.0,8,33,12,Mujer,Casada
5.0,16,2,1,Mujer,Casada
4.63,14,4,0,Mujer,Casada
3.0,15,1,0,Hombre,Soltera
3.2,12,29,0,Mujer,Soltera
3.91,18,17,3,Hombre,Casada
6.43,16,17,3,Mujer,Casada
5.48,10,36,3,Mujer,Casada
1.5,8,31,30,Hombre,Soltera
2.9,10,23,2,Mujer,Soltera
5.0,11,13,1,Hombre,Casada
8.92,18,3,3,Hombre,Casada
5.0,15,15,0,Hombre,Soltera
3.52,12,48,1,Hombre,Casada
2.9,11,6,0,Mujer,Soltera
4.5,12,12,0,Hombre,Casada
2.25,12,5,0,Mujer,Soltera
5.0,14,19,5,Hombre,Casada
10.0,16,9,3,Hombre,Casada
3.75,2,39,13,Hombre,Casada
10.0,14,28,11,Mujer,Casada
10.95,16,23,20,Hombre,Casada
7.9,12,2,0,Hombre,Soltera
4.72,12,15,1,Mujer,Soltera
5.84,13,5,0,Mujer,Casada
3.83,12,18,2,Mujer,Soltera
3.2,15,2,2,Mujer,Soltera
2.0,10,3,0,Mujer,Soltera
4.5,12,31,4,Mujer,Casada
11.55,16,20,5,Mujer,Casada
2.14,13,34,15,Mujer,Casada
2.38,9,5,0,Hombre,Soltera
3.75,12,11,0,Hombre,Soltera
5.52,13,31,3,Hombre,Soltera
6.5,12,8,5,Mujer,Casada
3.1,12,2,2,Mujer,Soltera
10.0,14,18,5,Hombre,Casada
6.63,16,3,0,Hombre,Casada
10.0,16,3,2,Hombre,Casada
2.31,9,4,1,Mujer,Soltera
6.88,18,4,4,Hombre,Soltera
2.83,10,1,0,Hombre,Soltera
3.13,10,1,0,Mujer,Soltera
8.0,13,28,5,Hombre,Casada
4.5,12,47,4,Mujer,Casada
8.65,18,13,1,Mujer,Soltera
2.0,13,2,6,Mujer,Soltera
4.75,12,48,2,Mujer,Casada
6.25,13,6,5,Mujer,Casada
6.0,13,8,0,Hombre,Casada
15.38,13,25,21,Hombre,Casada
14.58,18,13,7,Mujer,Soltera
12.5,12,8,1,Hombre,Soltera
5.25,12,19,10,Mujer,Casada
2.17,13,1,4,Mujer,Soltera
7.14,12,43,5,Mujer,Soltera
6.22,12,19,9,Mujer,Casada
9.0,12,11,5,Mujer,Casada
10.0,14,43,4,Hombre,Casada
5.77,10,44,3,Hombre,Casada
4.0,12,22,11,Mujer,Casada
8.75,16,3,2,Hombre,Casada
6.53,16,3,2,Mujer,Soltera
7.6,12,41,11,Mujer,Soltera
5.0,14,5,0,Hombre,Soltera
5.0,12,14,11,Mujer,Soltera
21.86,12,24,16,Hombre,Casada
8.64,12,28,8,Hombre,Casada
3.3,12,25,8,Hombre,Casada
4.44,12,3,0,Hombre,Soltera
4.55,12,11,0,Hombre,Casada
3.5,12,7,6,Mujer,Casada
6.25,16,9,2,Hombre,Casada
3.85,16,5,0,Hombre,Casada
6.18,14,9,3,Mujer,Casada
2.91,11,1,0,Mujer,Soltera
6.25,16,2,1,Mujer,Soltera
6.25,12,13,0,Mujer,Casada
9.05,12,10,2,Hombre,Casada
10.0,17,5,3,Hombre,Casada
11.11,12,30,8,Hombre,Casada
6.88,12,31,19,Hombre,Casada
8.75,16,1,2,Hombre,Soltera
10.0,8,9,0,Hombre,Casada
3.05,12,10,0,Mujer,Casada
3.0,12,38,0,Mujer,Casada
5.8,12,19,6,Mujer,Casada
4.1,16,5,0,Mujer,Casada
8.0,12,26,2,Hombre,Casada
6.15,12,35,12,Mujer,Soltera
2.7,9,2,0,Mujer,Soltera
2.75,13,1,2,Mujer,Soltera
3.0,16,19,10,Mujer,Casada
3.0,14,3,2,Mujer,Soltera
7.36,8,36,24,Hombre,Casada
7.5,14,29,24,Hombre,Casada
3.5,13,1,2,Hombre,Soltera
8.1,12,38,3,Mujer,Casada
3.75,18,1,2,Hombre,Soltera
3.25,9,29,0,Hombre,Casada
5.83,8,36,15,Mujer,Casada
3.5,8,4,0,Hombre,Soltera
3.33,12,45,4,Mujer,Casada
4.0,14,22,3,Mujer,Soltera
3.5,12,20,4,Mujer,Casada
6.25,16,5,0,Hombre,Casada
2.95,8,15,2,Mujer,Casada
5.71,13,10,2,Mujer,Casada
3.0,9,3,0,Mujer,Soltera
22.86,16,16,7,Hombre,Casada
9.0,12,38,1,Hombre,Casada
8.33,15,33,26,Hombre,Casada
3.0,11,2,0,Hombre,Soltera
5.75,14,6,5,Hombre,Casada
6.76,12,19,3,Hombre,Casada
10.0,12,29,0,Hombre,Casada
3.0,12,2,0,Hombre,Soltera
3.5,18,3,1,Mujer,Soltera
3.25,12,4,0,Hombre,Soltera
4.0,12,10,1,Mujer,Soltera
2.92,12,4,0,Mujer,Soltera
3.06,12,14,10,Mujer,Soltera
3.2,12,15,5,Mujer,Casada
4.75,12,19,0,Hombre,Casada
3.0,14,17,0,Mujer,Casada
18.16,16,29,7,Hombre,Casada
3.5,12,2,0,Mujer,Soltera
4.11,14,5,0,Hombre,Soltera
1.96,11,38,3,Mujer,Soltera
4.29,12,3,0,Mujer,Soltera
3.0,10,47,0,Hombre,Soltera
6.45,12,7,6,Hombre,Casada
5.2,6,47,13,Hombre,Casada
4.5,13,23,2,Mujer,Soltera
3.88,12,12,3,Hombre,Casada
3.45,10,11,0,Mujer,Soltera
10.91,12,25,23,Hombre,Soltera
4.1,14,6,0,Mujer,Casada
3.0,13,3,1,Hombre,Soltera
5.9,12,14,7,Hombre,Casada
18.0,18,13,0,Mujer,Soltera
4.0,12,9,0,Hombre,Soltera
3.0,12,1,0,Hombre,Soltera
3.55,12,6,0,Mujer,Casada
3.0,12,11,1,Mujer,Casada
8.75,12,47,44,Hombre,Casada
2.9,8,49,6,Mujer,Soltera
6.26,13,37,17,Mujer,Casada
3.5,13,2,0,Mujer,Soltera
4.6,14,7,0,Mujer,Casada
6.0,12,22,8,Hombre,Soltera
2.89,10,8,0,Mujer,Soltera
5.58,16,1,1,Hombre,Casada
4.0,12,43,6,Mujer,Casada
6.0,16,2,2,Hombre,Soltera
4.5,12,2,1,Mujer,Soltera
2.92,14,1,3,Hombre,Soltera
4.33,18,1,0,Hombre,Soltera
18.89,17,26,20,Hombre,Casada
4.28,13,1,1,Mujer,Soltera
4.57,14,37,7,Mujer,Casada
6.25,15,12,4,Mujer,Casada
2.95,14,41,23,Hombre,Casada
8.75,12,24,1,Hombre,Soltera
8.5,8,38,26,Hombre,Soltera
3.75,12,18,0,Mujer,Casada
3.15,12,26,1,Hombre,Casada
5.0,8,45,2,Hombre,Soltera
6.46,12,27,0,Hombre,Casada
2.0,9,2,0,Hombre,Soltera
4.79,12,41,8,Hombre,Casada
5.78,16,11,4,Hombre,Casada
3.18,12,5,0,Mujer,Casada
4.68,16,3,1,Mujer,Soltera
4.1,12,3,2,Mujer,Soltera
2.91,12,4,0,Hombre,Casada
6.0,13,21,13,Hombre,Casada
3.6,10,34,26,Mujer,Casada
3.95,6,49,6,Hombre,Casada
7.0,12,6,5,Hombre,Casada
3.0,12,26,9,Mujer,Casada
6.08,16,9,0,Hombre,Soltera
8.63,12,23,9,Hombre,Casada
3.0,8,33,2,Hombre,Casada
3.75,12,5,2,Mujer,Casada
2.9,6,49,7,Hombre,Casada
3.0,4,48,0,Hombre,Casada
6.25,11,35,31,Hombre,Casada
3.5,11,23,2,Mujer,Soltera
3.0,7,26,1,Mujer,Soltera
3.24,12,16,0,Mujer,Casada
8.02,18,23,3,Mujer,Casada
3.33,12,36,8,Mujer,Casada
